id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
4733d34d-da90-40b9-b188-89888180be7c,"{'activity_balance': 80, 'body_temperature': 89, 'hrv_balance': 86, 'previous_day_activity': 87, 'previous_night': 65, 'recovery_index': 25, 'resting_heart_rate': 73, 'sleep_balance': 68, 'sleep_regularity': 86}",2025-01-03,72,0.2,0.14,2025-01-03T00:00:00.000+00:00
075edfb3-0fa0-44c8-af26-b512e32db492,"{'activity_balance': 83, 'body_temperature': 74, 'hrv_balance': 83, 'previous_day_activity': 85, 'previous_night': 68, 'recovery_index': 97, 'resting_heart_rate': 95, 'sleep_balance': 70, 'sleep_regularity': 86}",2025-01-04,81,0.37,0.22,2025-01-04T00:00:00.000+00:00
fd31145a-3032-49a3-bbf8-031c202ee18b,"{'activity_balance': 81, 'body_temperature': 99, 'hrv_balance': 83, 'previous_day_activity': 90, 'previous_night': 81, 'recovery_index': 84, 'resting_heart_rate': 88, 'sleep_balance': 73, 'sleep_regularity': 77}",2025-01-05,82,-0.16,0.09,2025-01-05T00:00:00.000+00:00
ffaa38bb-eb83-4b04-804a-11f2d9b2fd37,"{'activity_balance': 77, 'body_temperature': 91, 'hrv_balance': 84, 'previous_day_activity': 91, 'previous_night': 84, 'recovery_index': 77, 'resting_heart_rate': 99, 'sleep_balance': 73, 'sleep_regularity': 77}",2025-01-06,83,0.17,0.25,2025-01-06T00:00:00.000+00:00
f6e3ed59-9cfc-4539-848e-ca0509f0f838,"{'activity_balance': 87, 'body_temperature': 100, 'hrv_balance': 87, 'previous_day_activity': 95, 'previous_night': 99, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 75, 'sleep_regularity': 79}",2025-01-07,90,0.06,0.17,2025-01-07T00:00:00.000+00:00
10f4bec5-329e-425e-aabe-a4431a827782,"{'activity_balance': 84, 'body_temperature': 98, 'hrv_balance': 86, 'previous_day_activity': 86, 'previous_night': 79, 'recovery_index': 98, 'resting_heart_rate': 99, 'sleep_balance': 76, 'sleep_regularity': 79}",2025-01-08,86,-0.22,-0.08,2025-01-08T00:00:00.000+00:00
f1934c06-1077-4aab-a7b3-cfa03d5df27d,"{'activity_balance': 86, 'body_temperature': 100, 'hrv_balance': 85, 'previous_day_activity': 73, 'previous_night': 76, 'recovery_index': 63, 'resting_heart_rate': 100, 'sleep_balance': 79, 'sleep_regularity': 81}",2025-01-09,81,0.0,0.1,2025-01-09T00:00:00.000+00:00
57178689-2a17-40f1-b29c-05615b772af2,"{'activity_balance': 91, 'body_temperature': 96, 'hrv_balance': 87, 'previous_day_activity': 87, 'previous_night': 81, 'recovery_index': 78, 'resting_heart_rate': 100, 'sleep_balance': 84, 'sleep_regularity': 81}",2025-01-10,87,-0.25,-0.07,2025-01-10T00:00:00.000+00:00
abbe1e1d-ed85-45bd-93bb-a20e0d7a92a9,"{'activity_balance': 91, 'body_temperature': 100, 'hrv_balance': 91, 'previous_day_activity': 79, 'previous_night': 79, 'recovery_index': 96, 'resting_heart_rate': 88, 'sleep_balance': 82, 'sleep_regularity': 81}",2025-01-11,86,0.02,-0.05,2025-01-11T00:00:00.000+00:00
725553aa-c027-4bcb-a688-6a3001c8b3ff,"{'activity_balance': 94, 'body_temperature': 96, 'hrv_balance': 90, 'previous_day_activity': 90, 'previous_night': 85, 'recovery_index': 98, 'resting_heart_rate': 97, 'sleep_balance': 84, 'sleep_regularity': 81}",2025-01-12,90,-0.27,-0.12,2025-01-12T00:00:00.000+00:00
70a7d9b4-ac17-4992-8b7a-292706d8e7b3,"{'activity_balance': 93, 'body_temperature': 100, 'hrv_balance': 94, 'previous_day_activity': 87, 'previous_night': 81, 'recovery_index': 95, 'resting_heart_rate': 89, 'sleep_balance': 84, 'sleep_regularity': 81}",2025-01-13,88,-0.13,-0.09,2025-01-13T00:00:00.000+00:00
